Company Name, Fund 
JTC,Invesco UK Smaller Cos Equity (Class Y) Accumulation Fund Analysis
HILL & SMITH HLDGS,Invesco UK Smaller Cos Equity (Class Y) Accumulation Fund Analysis
SANNE GROUP,Invesco UK Smaller Cos Equity (Class Y) Accumulation Fund Analysis
ADVANCED MEDICAL SOLUTIONS GROUP,Invesco UK Smaller Cos Equity (Class Y) Accumulation Fund Analysis
HILTON FOOD GROUP,Invesco UK Smaller Cos Equity (Class Y) Accumulation Fund Analysis
RWS HLDGS,Invesco UK Smaller Cos Equity (Class Y) Accumulation Fund Analysis
VOLUTION GROUP,Invesco UK Smaller Cos Equity (Class Y) Accumulation Fund Analysis
4IMPRINT GROUP,Invesco UK Smaller Cos Equity (Class Y) Accumulation Fund Analysis
CVS GROUP,Invesco UK Smaller Cos Equity (Class Y) Accumulation Fund Analysis
ESSENTRA,Invesco UK Smaller Cos Equity (Class Y) Accumulation Fund Analysis
FUTURE,Janus Henderson UK Smaller Companies (Cla Accumulation Fund Analysis
IMPAX ASSET MANAGEMENT GROUP,Janus Henderson UK Smaller Companies (Cla Accumulation Fund Analysis
WATCHES OF SWITZERLAND GROUP,Janus Henderson UK Smaller Companies (Cla Accumulation Fund Analysis
BELLWAY,Janus Henderson UK Smaller Companies (Cla Accumulation Fund Analysis
OXFORD INSTRUMENTS,Janus Henderson UK Smaller Companies (Cla Accumulation Fund Analysis
LEARNING TECHNOLOGIES GROUP,Janus Henderson UK Smaller Companies (Cla Accumulation Fund Analysis
RWS HLDGS,Janus Henderson UK Smaller Companies (Cla Accumulation Fund Analysis
TEAM17 GROUP,Janus Henderson UK Smaller Companies (Cla Accumulation Fund Analysis
SYNTHOMER,Janus Henderson UK Smaller Companies (Cla Accumulation Fund Analysis
ULTRA ELECTRONICS HLDGS,Janus Henderson UK Smaller Companies (Cla Accumulation Fund Analysis
WATCHES OF SWITZERLAND GROUP,JPM UK Smaller Companies (Class C) Accumulation Fund Analysis
iShares iShares plc FTSE 250 UCITS ETF GBP (Dist),JPM UK Smaller Companies (Class C) Accumulation Fund Analysis
ERGOMED,JPM UK Smaller Companies (Class C) Accumulation Fund Analysis
ALPHA FX GROUP,JPM UK Smaller Companies (Class C) Accumulation Fund Analysis
FUTURE,JPM UK Smaller Companies (Class C) Accumulation Fund Analysis
VISTRY GROUP,JPM UK Smaller Companies (Class C) Accumulation Fund Analysis
DUNELM GROUP,JPM UK Smaller Companies (Class C) Accumulation Fund Analysis
REACH,JPM UK Smaller Companies (Class C) Accumulation Fund Analysis
HALFORDS GROUP,JPM UK Smaller Companies (Class C) Accumulation Fund Analysis
OSB GROUP,JPM UK Smaller Companies (Class C) Accumulation Fund Analysis
BOOHOO GROUP,Jupiter UK Mid Cap (Class I) Income Fund Analysis
THG,Jupiter UK Mid Cap (Class I) Income Fund Analysis
Merian Chrysalis Investment Company Limited Chrysalis Investment Company Ltd Ord,Jupiter UK Mid Cap (Class I) Income Fund Analysis
ASCENTIAL,Jupiter UK Mid Cap (Class I) Income Fund Analysis
ELECTROCOMPONENTS,Jupiter UK Mid Cap (Class I) Income Fund Analysis
OSB GROUP,Jupiter UK Mid Cap (Class I) Income Fund Analysis
ASHTEAD GROUP,Jupiter UK Mid Cap (Class I) Income Fund Analysis
FUTURE,Jupiter UK Mid Cap (Class I) Income Fund Analysis
S4 CAPITAL,Jupiter UK Mid Cap (Class I) Income Fund Analysis
BELLWAY,Jupiter UK Mid Cap (Class I) Income Fund Analysis
KAPE TECHNOLOGIES,LF Gresham House UK Micro Cap Accumulation Fund Analysis
MATTIOLI WOODS,LF Gresham House UK Micro Cap Accumulation Fund Analysis
XPS PENSIONS GROUP,LF Gresham House UK Micro Cap Accumulation Fund Analysis
INSPIRED ENERGY,LF Gresham House UK Micro Cap Accumulation Fund Analysis
RANDALL & QUILTER INVT HLDGS LTD,LF Gresham House UK Micro Cap Accumulation Fund Analysis
COSTAIN GROUP,LF Gresham House UK Micro Cap Accumulation Fund Analysis
LOUNGERS,LF Gresham House UK Micro Cap Accumulation Fund Analysis
ALPHA FINL MKTS CONSULTING,LF Gresham House UK Micro Cap Accumulation Fund Analysis
KNIGHTS GROUP HLDGS,LF Gresham House UK Micro Cap Accumulation Fund Analysis
ANGLING DIRECT,LF Gresham House UK Micro Cap Accumulation Fund Analysis
ECKOH,Liontrust UK Micro Cap (Class I) Accumulation Fund Analysis
CHARLES STANLEY GROUP,Liontrust UK Micro Cap (Class I) Accumulation Fund Analysis
GATELEY HLDGS,Liontrust UK Micro Cap (Class I) Accumulation Fund Analysis
TATTON ASSET MGMT,Liontrust UK Micro Cap (Class I) Accumulation Fund Analysis
CHURCHILL CHINA,Liontrust UK Micro Cap (Class I) Accumulation Fund Analysis
OXFORD METRICS,Liontrust UK Micro Cap (Class I) Accumulation Fund Analysis
FINTEL,Liontrust UK Micro Cap (Class I) Accumulation Fund Analysis
FRENKEL TOPPING GROUP,Liontrust UK Micro Cap (Class I) Accumulation Fund Analysis
BEEKS FINANCIAL CLOUD GROUP,Liontrust UK Micro Cap (Class I) Accumulation Fund Analysis
Keystone Law Group PLC Keystone Law Group Ord 0.2P,Liontrust UK Micro Cap (Class I) Accumulation Fund Analysis
NEXT FIFTEEN COMMUNICATIONS GROUP,Liontrust UK Smaller Companies (Class I) Accumulation Fund Analysis
YOUGOV,Liontrust UK Smaller Companies (Class I) Accumulation Fund Analysis
ROBERT WALTERS,Liontrust UK Smaller Companies (Class I) Accumulation Fund Analysis
DOTDIGITAL GROUP,Liontrust UK Smaller Companies (Class I) Accumulation Fund Analysis
RWS HLDGS,Liontrust UK Smaller Companies (Class I) Accumulation Fund Analysis
MORTGAGE ADVICE BUREAU (HLDGS),Liontrust UK Smaller Companies (Class I) Accumulation Fund Analysis
IMPAX ASSET MANAGEMENT GROUP,Liontrust UK Smaller Companies (Class I) Accumulation Fund Analysis
ALPHA FX GROUP,Liontrust UK Smaller Companies (Class I) Accumulation Fund Analysis
CLIPPER LOGISTICS,Liontrust UK Smaller Companies (Class I) Accumulation Fund Analysis
JTC,Liontrust UK Smaller Companies (Class I) Accumulation Fund Analysis
KIN AND CARTA,M&G Smaller Companies (Class I) Accumulation Fund Analysis
ULTRA ELECTRONICS HLDGS,M&G Smaller Companies (Class I) Accumulation Fund Analysis
MONEYSUPERMARKET.COM GROUP,M&G Smaller Companies (Class I) Accumulation Fund Analysis
ALPHA FINL MKTS CONSULTING,M&G Smaller Companies (Class I) Accumulation Fund Analysis
HILL & SMITH HLDGS,M&G Smaller Companies (Class I) Accumulation Fund Analysis
888 HLDGS,M&G Smaller Companies (Class I) Accumulation Fund Analysis
EMIS GROUP,M&G Smaller Companies (Class I) Accumulation Fund Analysis
SYNTHOMER,M&G Smaller Companies (Class I) Accumulation Fund Analysis
VOLUTION GROUP,M&G Smaller Companies (Class I) Accumulation Fund Analysis
RPS GROUP,M&G Smaller Companies (Class I) Accumulation Fund Analysis
IQGEO GROUP,IFSL Marlborough Nano-Cap Growth (Class P) Accumulation Fund Analysis
JUBILEE METALS GROUP,IFSL Marlborough Nano-Cap Growth (Class P) Accumulation Fund Analysis
VOLEX,IFSL Marlborough Nano-Cap Growth (Class P) Accumulation Fund Analysis
GEAR 4 MUSIC (HLDGS) LTD,IFSL Marlborough Nano-Cap Growth (Class P) Accumulation Fund Analysis
ALPHA FX GROUP,IFSL Marlborough Nano-Cap Growth (Class P) Accumulation Fund Analysis
SCA INVESTMENTS LTD,IFSL Marlborough Nano-Cap Growth (Class P) Accumulation Fund Analysis
PHOENIX GLOBAL MNG LTD,IFSL Marlborough Nano-Cap Growth (Class P) Accumulation Fund Analysis
WATER INTELLIGENCE,IFSL Marlborough Nano-Cap Growth (Class P) Accumulation Fund Analysis
ACCESS INTELLIGENCE,IFSL Marlborough Nano-Cap Growth (Class P) Accumulation Fund Analysis
ESSENSYS,IFSL Marlborough Nano-Cap Growth (Class P) Accumulation Fund Analysis
SCA INVESTMENTS LTD,IFSL Marlborough Special Situations (Class P) Accumulation Fund Analysis
WATCHES OF SWITZERLAND GROUP,IFSL Marlborough Special Situations (Class P) Accumulation Fund Analysis
FUTURE,IFSL Marlborough Special Situations (Class P) Accumulation Fund Analysis
S4 CAPITAL,IFSL Marlborough Special Situations (Class P) Accumulation Fund Analysis
RWS HLDGS,IFSL Marlborough Special Situations (Class P) Accumulation Fund Analysis
CARETECH HLDGS,IFSL Marlborough Special Situations (Class P) Accumulation Fund Analysis
REACH,IFSL Marlborough Special Situations (Class P) Accumulation Fund Analysis
INSPECS GROUP,IFSL Marlborough Special Situations (Class P) Accumulation Fund Analysis
NCC GROUP,IFSL Marlborough Special Situations (Class P) Accumulation Fund Analysis
DX (GROUP),IFSL Marlborough Special Situations (Class P) Accumulation Fund Analysis
S4 CAPITAL,IFSL Marlborough UK Micro-Cap Growth (Class P) Accumulation Fund Analysis
SCA INVESTMENTS LTD,IFSL Marlborough UK Micro-Cap Growth (Class P) Accumulation Fund Analysis
FUTURE,IFSL Marlborough UK Micro-Cap Growth (Class P) Accumulation Fund Analysis
ALPHA FX GROUP,IFSL Marlborough UK Micro-Cap Growth (Class P) Accumulation Fund Analysis
RWS HLDGS,IFSL Marlborough UK Micro-Cap Growth (Class P) Accumulation Fund Analysis
CERILLION,IFSL Marlborough UK Micro-Cap Growth (Class P) Accumulation Fund Analysis
IMPAX ASSET MANAGEMENT GROUP,IFSL Marlborough UK Micro-Cap Growth (Class P) Accumulation Fund Analysis
